LON,LAT,rating_date,score
-63.628583,-32.002093,2022-03-15,1
-63.62669755,-31.81717138,2020-02-28,1
-63.6253387,-31.82438492,2022-02-11,1
-63.6253387,-31.82438492,2022-03-16,2
-63.61511205,-31.81805169,2021-03-18,2
-63.60320698,-36.08380142,2021-03-26,2
-63.59076369,-32.94055568,2022-02-02,1
-63.5781311,-31.8390375,2023-03-10,0
-63.5473755,-22.7511158,2022-05-30,0
-63.5378999,-34.1234015,2021-02-22,0
-63.5210784,-30.6789795,2023-04-21,0
-63.515143,-36.4328804,2023-04-10,1
-63.5079285,-31.1780679,2022-04-01,2
-63.46610855,-35.51877669,2023-02-25,1
-63.4338785,-25.5682987,2022-05-16,2
-63.36462009,-32.05834697,2021-01-20,0
-63.36462009,-32.05834697,2021-02-20,0
-63.2940366,-37.0088893,2021-03-25,2
-63.26972402,-31.70450387,2023-03-10,0
-63.26963,-31.70924987,2021-12-15,0
-63.26963,-31.70924987,2022-01-11,0
-63.243351,-33.245368,2023-03-06,0
-63.23101908,-33.24629839,2022-01-05,1
-63.23101908,-33.24629839,2022-02-04,1
-63.203075,-32.472397,2021-02-09,0
-63.203075,-32.472397,2021-02-20,0
-63.191593,-32.778694,2021-01-20,0
-63.191593,-32.778694,2021-02-20,0
-63.16418063,-35.98389863,2020-03-05,2
-63.16,-31.6575299,2020-01-22,2
-63.143872,-32.42268299,2022-02-18,1
-63.143872,-32.42268299,2022-03-16,1
-63.13856742,-32.44191821,2020-03-11,4
-63.076649,-33.122319,2022-12-06,0
-63.076649,-33.122319,2023-01-06,0
-63.076649,-33.122319,2023-01-19,0
-63.0612401,-31.5660999,2020-03-16,1
-63.059187,-36.041851,2023-04-27,1
-63.052562,-33.542388,2023-03-06,0
-63.04771125,-36.01199823,2020-03-19,3
-63.04525818,-36.02986144,2022-05-10,1
-63.03930556,-33.11333132,2021-12-15,1
-63.03930556,-33.11333132,2022-01-11,2
-63.0281226,-36.0162815,2023-02-25,1
-63.0122862,-34.6122636,2021-01-29,0
-63.0122862,-34.6122636,2021-02-22,0
-63.0105442,-33.10821164,2020-01-28,1
-63.00949351,-33.10892953,2021-01-20,0
-63.00949351,-33.10892953,2021-02-20,0
-62.97757059,-34.63131074,2022-05-10,2
-62.94909718,-35.05426479,2022-03-02,1
-62.88032297,-35.08063775,2022-04-04,1
-62.875443,-31.723092,2023-04-13,0
-62.8721789,-35.5722717,2022-03-09,2
-62.8713331,-35.567687,2020-03-03,2
-62.8689211,-35.5703167,2023-02-25,1
-62.792628,-33.8474974,2021-01-29,0
-62.792628,-33.8474974,2021-02-22,0
-62.78274169,-34.99771001,2020-02-01,2
-62.7031619,-36.040077,2021-02-22,2
-62.7024025,-36.040826,2020-03-11,2
-62.70023862,-32.94109978,2020-01-14,3
-62.70023862,-32.94109978,2020-01-16,3
-62.68742682,-31.56018386,2021-03-29,5
-62.6778089,-33.6519159,2023-01-30,0
-62.67373684,-33.64855659,2021-01-29,0
-62.67373684,-33.64855659,2021-02-22,0
-62.67022312,-33.63382763,2020-01-31,2
-62.6697958,-33.6325148,2022-02-14,0
-62.6188492,-27.1870324,2022-08-22,0
-62.58915379,-36.14516457,2020-03-06,4
-62.58719146,-34.20407006,2022-02-14,0
-62.5857026,-36.1538758,2023-04-27,2
-62.5839364,-36.1530325,2023-02-25,1
-62.5839364,-36.1530325,2023-04-27,1
-62.57847332,-36.15971216,2022-03-02,2
-62.5472691,-36.476956,2021-02-22,0
-62.53816159,-32.74015408,2022-12-06,0
-62.53816159,-32.74015408,2023-01-06,0
-62.53816159,-32.74015408,2023-01-25,0
-62.53762229,-32.73678126,2021-01-20,1
-62.53762229,-32.73678126,2021-02-20,1
-62.5014616,-32.77131203,2021-12-15,1
-62.5014616,-32.77131203,2022-01-31,2
-62.4423934,-33.9565837,2022-02-14,0
-62.4402058,-33.859636,2020-04-14,1
-62.43878712,-37.28969977,2020-03-17,3
-62.43738829,-33.95977598,2021-01-29,0
-62.43738829,-33.95977598,2021-02-22,0
-62.4364828,-34.15448077,2023-01-30,0
-62.4221704,-33.9509258,2020-03-16,2
-62.42200423,-33.95116422,2023-01-30,0
-62.4076063,-34.6429929,2021-05-12,0
-62.39264596,-31.60750148,2022-04-05,0
-62.37451036,-33.9205705,2021-05-12,0
-62.347773,-31.081598,2022-04-18,0
-62.33286745,-36.12493567,2020-03-03,2
-62.33192844,-27.75721687,2022-08-22,0
-62.2506849,-34.426081,2023-01-30,0
-62.21510227,-27.74871114,2020-07-20,1
-62.20126643,-27.74802517,2022-08-22,0
-62.1934211,-34.9409966,2020-04-14,1
-62.193247,-30.9166333,2021-01-23,1
-62.19249,-36.1480256,2022-03-09,1
-62.1793813,-34.0927131,2020-02-01,1
-62.1786541,-34.4125214,2020-01-31,2
-62.1743834,-34.4146718,2022-02-14,0
-62.1684612,-36.1824993,2023-02-25,1
-62.16713504,-33.34934733,2021-12-07,1
-62.16713504,-33.34934733,2022-01-31,2
-62.1668528,-30.8929064,2020-03-17,1
-62.1658975,-36.7012488,2021-03-25,2
-62.15867118,-33.34442447,2021-02-22,1
-62.15575607,-33.3082392,2020-01-28,2
-62.15433931,-33.3551457,2023-01-19,1
-62.13556655,-31.32462099,2023-03-22,0
-62.13061847,-36.48890768,2020-03-03,2
-62.0900858,-28.6566498,2022-08-22,1
-62.0879109,-36.6333426,2022-05-10,2
-62.08768327,-36.63340007,2020-04-28,2
-62.08702063,-33.10020902,2023-02-02,0
-62.0868,-31.3467,2022-01-18,0
-62.0868,-31.3467,2023-03-22,0
-62.0860289,-33.09675585,2021-01-20,2
-62.0860289,-33.09675585,2021-02-12,2
-62.08582254,-33.09526093,2020-01-14,4
-62.08582254,-33.09526093,2020-01-16,4
-62.08515215,-33.09239524,2021-12-15,1
-62.08515215,-33.09239524,2022-01-11,2
-62.08006225,-32.55314748,2022-01-04,2
-62.08006225,-32.55314748,2022-01-31,4
-62.0788765,-33.4263747,2021-02-22,1
-62.0724329,-34.2871822,2020-01-24,2
-62.0532152,-36.4892088,2023-04-27,1
-62.0283161,-34.0783554,2022-02-14,0
-62.0280441,-36.5728868,2022-05-10,2
-62.0228362,-27.0950774,2020-06-25,1
-62.0219191,-27.0777419,2022-08-22,1
-62.01069,-33.39459,2022-02-14,0
-61.9733774,-34.0415972,2023-05-04,0
-61.95726968,-30.51190628,2023-04-17,0
-61.9563191,-27.900285,2022-08-22,0
-61.9427333,-26.3507143,2022-08-22,0
-61.94268829,-32.15642539,2023-01-24,0
-61.9208148,-34.5211168,2021-01-29,0
-61.9208148,-34.5211168,2021-02-22,0
-61.9084475,-33.8197684,2023-05-04,0
-61.8877892,-34.5039184,2023-05-04,0
-61.8844193,-31.94250106,2023-01-24,0
-61.8759615,-36.12787931,2023-02-25,1
-61.87272279,-34.68395688,2020-02-01,2
-61.8716507,-31.4708414,2021-01-23,2
-61.8650913,-35.8833816,2021-02-09,2
-61.8650913,-35.8833816,2021-02-22,2
-61.85343746,-31.91576983,2021-12-13,1
-61.85343746,-31.91576983,2022-02-04,1
-61.850791,-32.270337,2021-12-13,2
-61.850791,-32.270337,2022-02-04,4
-61.8461835,-32.46479897,2021-01-20,0
-61.8461835,-32.46479897,2021-02-20,0
-61.82569166,-36.22058739,2022-04-04,4
-61.82406333,-32.32283276,2023-01-24,2
-61.8043406,-34.8504749,2021-01-29,0
-61.8043406,-34.8504749,2021-02-22,0
-61.8010326,-34.8278012,2020-02-01,2
-61.8006698,-34.8280549,2022-02-14,0
-61.79256097,-31.68345147,2020-03-17,2
-61.78791856,-35.46824986,2020-02-26,1
-61.75686225,-32.05302737,2020-03-17,3
-61.72003115,-36.4537935,2020-03-03,2
-61.70561814,-36.40240478,2021-02-09,2
-61.70561814,-36.40240478,2021-02-22,2
-61.70548379,-36.40257575,2023-05-08,1
-61.67350574,-26.0070264,2022-08-22,0
-61.66875783,-32.29052746,2020-03-17,5
-61.6402424,-35.5045092,2021-03-26,3
-61.6313152,-32.8145838,2023-01-30,0
-61.63074,-32.8093,2022-02-14,0
-61.63074,-32.8093,2022-02-15,5
-61.62679254,-33.97848397,2023-02-27,0
-61.6229352,-33.9712246,2022-02-15,4
-61.6226035,-33.9716596,2020-02-01,5
-61.61777799,-32.85135301,2020-02-26,1
-61.598904,-33.7129064,2022-02-14,0
-61.5980673,-33.7206988,2021-01-29,0
-61.5980673,-33.7206988,2021-02-22,0
-61.5955908,-35.9883788,2022-05-10,2
-61.59517941,-34.37623674,2020-02-26,1
-61.5891694,-37.4257596,2020-03-03,4
-61.5886632,-35.534685,2021-02-09,2
-61.5886632,-35.534685,2021-02-22,2
-61.5662143,-33.6844922,2020-02-01,2
-61.540221,-35.6887068,2022-03-09,2
-61.5245549,-27.417154,2022-08-22,0
-61.5245549,-27.417154,2022-08-30,0
-61.50520467,-32.09736988,2021-02-22,1
-61.5051556,-32.8885384,2021-02-22,0
-61.5000694,-34.871596,2020-02-26,2
-61.49360871,-32.50364879,2023-01-30,0
-61.49360871,-32.50364879,2023-02-27,0
-61.4930868,-32.5015072,2020-02-26,1
-61.4820737,-31.0337118,2021-01-23,2
-61.4408693,-26.3704212,2022-08-22,0
-61.39451337,-26.59706832,2022-08-22,0
-61.2961878,-34.270207,2023-05-04,0
-61.29006377,-31.88755547,2021-02-05,2
-61.27930817,-32.02724616,2021-12-02,3
-61.27930817,-32.02724616,2021-12-27,2
-61.27404715,-33.4335246,2022-02-14,0
-61.2703375,-33.4374813,2023-05-04,0
-61.27010119,-33.43762875,2020-02-26,2
-61.2608814,-33.4864429,2021-02-22,1
-61.2605238,-34.2525239,2021-02-22,1
-61.2567777,-34.2413514,2022-02-14,0
-61.2562864,-31.96742953,2022-04-04,1
-61.2558653,-34.23538224,2020-02-26,2
-61.22818533,-33.07322765,2020-02-26,1
