LON,LAT,rating_date,score,PRECTOTCORR_mean_win_1,PRECTOTCORR_mean_win_2,PRECTOTCORR_mean_win_3,RH2M_mean_win_1,RH2M_mean_win_2,RH2M_mean_win_3,T2M_mean_win_1,T2M_mean_win_2,T2M_mean_win_3,T2M_MAX_mean_win_1,T2M_MAX_mean_win_2,T2M_MAX_mean_win_3,T2M_MIN_mean_win_1,T2M_MIN_mean_win_2,T2M_MIN_mean_win_3,WS2M_mean_win_1,WS2M_mean_win_2,WS2M_mean_win_3,QTD_DIAS_PRECIP_MAIOR_3MM_win_1,QTD_DIAS_PRECIP_MAIOR_3MM_win_2,QTD_DIAS_PRECIP_MAIOR_3MM_win_3,QTD_MM_ACUMUL_win_1,QTD_MM_ACUMUL_win_2,QTD_MM_ACUMUL_win_3,QTD_DIAS_UMIDREL_MAIOR_80_win_1,QTD_DIAS_UMIDREL_MAIOR_80_win_2,QTD_DIAS_UMIDREL_MAIOR_80_win_3
-64.83529537,-25.42318218,2020-06-19,1,0.662,0.004,0.14,70.55,55.69,52.488,9.96,15.714,12.696,16.722,23.694,20.718,5.286,10.128,7.038,1.554,1.86,1.852,0,0,0,3.31,0.02,0.7,1,0,0
-64.833498,-26.8002858,2022-05-16,1,0.132,0.014,0.004,71.35,71.974,76.236,16.294,23.092,20.776,23.004,29.96,28.18,11.15,16.792,14.558,1.694,2.112,1.862,0,0,0,0.66,0.07,0.02,0,0,1
-64.819447,-27.115357,2023-05-02,0,0.896,11.302,6.032,82.378,73.824,80.924,17.348,23.32,21.668,22.47,29.438,26.432,13.496,18.502,17.672,1.646,2.57,1.816,0,2,2,4.48,56.51,30.16,3,1,2
-64.81015793,-35.03887329,2022-05-24,0,0,0,0.224,68.402,68.878,55.312,15.794,11.988,11.292,24.92,21.706,20.252,8.724,5.2,3.942,0.452,0.402,0.468,0,0,0,0,0,1.12,0,0,0
-64.73237946,-27.11156678,2022-05-16,0,0.132,0.014,0.004,71.35,71.974,76.236,16.294,23.092,20.776,23.004,29.96,28.18,11.15,16.792,14.558,1.694,2.112,1.862,0,0,0,0.66,0.07,0.02,0,0,1
-64.72184979,-27.10060308,2020-06-19,1,0.184,0,0.004,59.588,51.812,47.4,12.996,17.382,14.7,20.514,25.782,23.414,7.37,10.766,7.972,2.142,1.824,2.298,0,0,0,0.92,0,0.02,0,0,0
-64.6873371,-27.2813234,2022-06-09,0,0.016,0,0.098,70.15,61.262,72.098,17.108,12.014,16.038,25.252,21.684,21.594,11.226,4.38,11.844,0.364,0.402,0.316,0,0,0,0.08,0,0.49,0,0,1
-64.6755411,-26.97923457,2020-06-19,1,0.202,0,0.004,57.05,52.688,50.048,13.182,17.844,13.91,21.062,26.508,23.166,7.096,11.17,6.576,1.37,1.486,1.452,0,0,0,1.01,0,0.02,0,0,0
-64.66772014,-26.97632021,2022-06-09,1,0.028,0,0.044,67.65,59.976,72.35,17.994,12.812,16.548,26.074,21.738,22.214,11.888,5.5,12.238,1.294,1.154,1.186,0,0,0,0.14,0,0.22,0,0,1
-64.64240327,-26.45712213,2022-08-29,0,0,0.562,0.004,36.6,56.202,56.578,20.204,14.22,18.558,29.738,21.502,26.094,12.056,7.892,11.668,3.09,2.814,2.69,0,0,0,0,2.81,0.02,0,0,0
-64.59995,-26.64916,2023-05-02,0,0.752,10.726,5.738,81.414,75.462,81.926,18.062,23.192,21.782,22.96,29.238,26.512,14.056,18.408,17.498,1.36,3.296,1.654,0,2,2,3.76,53.63,28.69,3,1,2
-64.57670005,-26.08512781,2020-06-19,1,0.404,0,0.056,61.572,51.572,50.098,12.736,18.05,14.208,19.86,25.824,22.562,7.35,12.752,7.98,2.182,2.656,2.81,0,0,0,2.02,0,0.28,0,0,0
-64.56893932,-26.12122183,2022-08-30,1,0,0.458,0.012,35.188,57.188,58.852,20.434,13.326,17.886,30.07,20.214,25.336,11.72,7.23,11.406,2.922,2.922,2.678,0,0,0,0,2.29,0.06,0,0,0
-64.56546581,-32.77078277,2020-03-10,2,0.858,4.068,0,55.45,66.686,69.614,18.66,22.004,22.716,27.462,30.594,30.242,11.63,14.844,16.36,0.086,0.042,0.01,0,2,0,4.29,20.34,0,0,0,0
-64.549188,-26.669364,2022-05-16,1,0.13,1.12,0.37,69.836,77.612,75.174,16.934,23.212,21.31,23.376,29.322,28.532,11.68,17.174,15.162,1.928,2.496,2.192,0,1,0,0.65,5.6,1.85,0,2,1
