LON,LAT,rating_date,score,WS2M,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ID
-65.47497865,-27.95158252,2020-06-19,1,1.44,16.18,24.19,10.37,0,49.62,8
-65.47497865,-27.95158252,2020-06-19,1,2.2,13.46,19.07,7.97,0,61.31,7
-65.47497865,-27.95158252,2020-06-19,1,1.38,8.19,13.83,4.56,0,62.69,6
-65.47497865,-27.95158252,2020-06-19,1,1.42,7.79,15.56,2.7,0,67.5,5
-65.47497865,-27.95158252,2020-06-19,1,1.95,7.04,15.17,1.14,0,65.44,4
-65.47497865,-27.95158252,2020-06-19,1,2.16,7.81,14.4,1.99,0.15,72.81,3
-65.47497865,-27.95158252,2020-06-19,1,1.7,6.26,9.7,4.32,0.59,81.88,2
-65.47497865,-27.95158252,2020-06-19,1,1.78,9.13,18.98,3.51,0.01,66.06,1
-65.456499,-27.949685,2021-07-27,0,1.39,4.74,12.69,-0.13,0,62.25,15
-65.456499,-27.949685,2021-07-27,0,2.1,4.73,11.62,-0.47,0,66,14
-65.456499,-27.949685,2021-07-27,0,1.24,7.78,14.94,3.69,0,55.69,13
-65.456499,-27.949685,2021-07-27,0,1.7,8.89,16.54,3.38,0,55.56,12
-65.456499,-27.949685,2021-07-27,0,1.75,7.51,13.73,3.01,0,65.69,11
-65.456499,-27.949685,2021-07-27,0,1.45,8.56,15.19,3.05,0,74.25,10
-65.456499,-27.949685,2021-07-27,0,1.4,10.98,17.56,6.56,0,79.56,9
-65.456499,-27.949685,2021-07-27,0,1.43,11.81,17.89,7.65,0,82.62,8
-65.456499,-27.949685,2021-07-27,0,2.07,13.01,21.87,7.51,0,70.69,7
-65.456499,-27.949685,2021-07-27,0,1.61,12,18.06,7.33,0,87.25,6
-65.456499,-27.949685,2021-07-27,0,1.52,15.28,23.94,9.63,0,69.06,5
-65.456499,-27.949685,2021-07-27,0,2.09,12.42,17.78,7.62,0,75.25,4
-65.456499,-27.949685,2021-07-27,0,1.72,10.06,15.51,3.84,0,71.81,3
-65.456499,-27.949685,2021-07-27,0,1.07,15.15,23.4,10.87,0,78.69,2
-65.456499,-27.949685,2021-07-27,0,1.82,13.87,19.55,9.66,0,79.56,1
-65.44796339,-27.94527316,2022-05-16,2,1.98,14.07,19.84,8.81,0,78.44,15
-65.44796339,-27.94527316,2022-05-16,2,1.7,14.73,20.89,9.54,0,79.75,14
-65.44796339,-27.94527316,2022-05-16,2,1.25,18.62,26.4,11.98,0,74.75,13
-65.44796339,-27.94527316,2022-05-16,2,1.7,18.08,23.93,14.48,0,81.75,12
-65.44796339,-27.94527316,2022-05-16,2,1.88,18.32,28.26,11.47,0,63.75,11
-65.44796339,-27.94527316,2022-05-16,2,2.35,15.31,21.15,10.59,0,83.94,10
-65.44796339,-27.94527316,2022-05-16,2,1.54,18.53,26.56,11.98,0,80.19,9
-65.44796339,-27.94527316,2022-05-16,2,1.7,20.33,29.62,14.3,0,64.5,8
-65.44796339,-27.94527316,2022-05-16,2,1.73,20.75,28.08,14.47,0,75.75,7
-65.44796339,-27.94527316,2022-05-16,2,1.95,17.25,22.83,11.65,0,51.12,6
-65.44796339,-27.94527316,2022-05-16,2,1.84,14.39,23.14,7.98,0,54.75,5
-65.44796339,-27.94527316,2022-05-16,2,1.66,10.02,16.18,5.17,0.1,69.88,4
-65.44796339,-27.94527316,2022-05-16,2,1.68,11.9,18.46,6.16,0,74.75,3
-65.44796339,-27.94527316,2022-05-16,2,1.61,12.72,18.01,9.41,0,76.88,2
-65.44796339,-27.94527316,2022-05-16,2,1.16,12,17.97,9.33,0,74.31,1
-65.29932188,-27.84977625,2020-06-19,1,3,11.47,15.82,7.4,0.09,64.06,15
-65.29932188,-27.84977625,2020-06-19,1,1.02,9.77,17.91,4.49,0,49,14
-65.29932188,-27.84977625,2020-06-19,1,1.1,13.02,23.44,4.47,0,44.81,13
-65.29932188,-27.84977625,2020-06-19,1,1.39,16.87,27.3,9.97,0,39,12
-65.29932188,-27.84977625,2020-06-19,1,1.49,14.65,23.69,8.23,0,47.56,11
-65.29932188,-27.84977625,2020-06-19,1,1.3,15.87,26.28,8.15,0,51.56,10
-65.29932188,-27.84977625,2020-06-19,1,1.22,16.65,25.6,9.67,0,51.06,9
-65.29932188,-27.84977625,2020-06-19,1,1.19,18.69,27.4,11.87,0,50.88,8
-65.29932188,-27.84977625,2020-06-19,1,2.48,16.76,21.99,13.19,0,55.81,7
-65.29932188,-27.84977625,2020-06-19,1,1.34,12.15,18.01,8.11,0,56.75,6
-65.29932188,-27.84977625,2020-06-19,1,0.95,10.94,18.48,6.11,0,54.5,5
-65.29932188,-27.84977625,2020-06-19,1,1.45,10.67,19.39,4.39,0,53.81,4
-65.29932188,-27.84977625,2020-06-19,1,2.02,11.87,19.82,4.48,0.37,61.5,3
-65.29932188,-27.84977625,2020-06-19,1,1.7,10.81,14.62,8,0.63,72.75,2
-65.29932188,-27.84977625,2020-06-19,1,1.19,11.98,21.15,6.11,0.06,66.5,1
-65.1684312,-33.7498586,2020-03-10,1,0.97,22.33,29.09,16.48,0,64.62,15
-65.1684312,-33.7498586,2020-03-10,1,1.12,23.74,32.61,15.64,0,58.5,14
-65.1684312,-33.7498586,2020-03-10,1,0.71,22.78,28.49,18.49,0.02,64.81,13
-65.1684312,-33.7498586,2020-03-10,1,0.61,23.23,31.46,16.01,0.02,63,12
-65.1684312,-33.7498586,2020-03-10,1,0.78,27.94,38.02,19.64,0.03,56.94,11
-65.1684312,-33.7498586,2020-03-10,1,0.75,26.95,33.61,21.1,9.37,70.62,10
-65.1684312,-33.7498586,2020-03-10,1,1.22,23.32,32.12,15.89,10.65,78.81,9
-65.1684312,-33.7498586,2020-03-10,1,0.67,18.33,26.54,11.03,0,49.62,8
-65.1684312,-33.7498586,2020-03-10,1,0.73,23.33,34.52,13.68,0,49.69,7
-65.1684312,-33.7498586,2020-03-10,1,1.06,17.51,24.15,11.92,0,50.31,6
-65.1684312,-33.7498586,2020-03-10,1,0.92,15.58,23.33,9.21,0,50.69,5
-65.1684312,-33.7498586,2020-03-10,1,0.71,17.38,24.08,10.65,0.33,56.94,4
-65.1684312,-33.7498586,2020-03-10,1,0.87,21.69,31.39,13.05,0.01,52.81,3
